Population	#SNPs	GD1	GD2	GD3	EA1	EA2	EA3	EA4	AF1	AF2	AF3	EU1	EU2	EU3	SA1	SA2	IC1	IC2	IC3
Afghanistan	280050	1.5001	1.3459	0.0041	2.1810	-1.8790	0.6944	2.2499	3.0438	2.2969	4.5366	0.4211	-0.5074	-0.2089	0.2036	1.1468	0.7259	-0.2488	1.7321
Albania	278722	1.4664	1.4270	0.0063	2.5737	-2.3494	0.9562	2.7009	3.3265	2.6124	5.1244	0.5865	-0.9432	-0.8375	0.7363	1.8552	-0.0106	-0.9397	-0.8579
Algeria	280545	1.3801	1.3489	-0.0058	2.6764	-2.2861	1.0651	2.7442	2.2178	1.8719	3.7943	1.7426	-1.0049	-1.7030	0.6061	1.5468	-0.1207	-0.2261	-0.6819
Angola	280134	1.0799	1.1005	0.0028	2.8974	-2.0861	1.2965	2.8080	0.0201	-0.5639	-0.2654	3.1622	-0.4339	-1.5829	0.5790	0.5212	-0.2630	2.6879	1.1378
Antigua	280174	1.1219	1.1301	-0.0079	2.8394	-2.1173	1.2525	2.7880	-0.3028	0.1871	0.6397	2.7693	-0.4797	-1.4874	0.6236	0.6629	-0.2502	2.3581	0.9202
Argentina	279315	1.4988	1.3670	-0.0003	2.0030	-1.9541	0.6398	2.1846	3.2239	2.5039	4.8138	0.0944	-0.5071	-0.5930	1.3419	1.5269	-0.6041	0.3217	-0.0725
Armenia	281686	1.4620	1.3982	0.0044	2.5543	-2.2412	0.9422	2.6118	3.1463	2.4608	4.7254	1.2235	-0.9776	-1.0250	0.2831	1.7345	0.3217	-0.9175	0.4800
Aruba	280873	1.1285	1.1342	-0.0106	2.8298	-2.1185	1.2437	2.7940	-0.2191	0.1669	0.6998	2.7083	-0.4832	-1.4792	0.6158	0.6797	-0.2481	2.3140	0.8900
Australia	279787	1.4761	1.4365	-0.0006	2.5360	-2.3451	0.9283	2.6959	3.4641	2.7294	5.3992	-0.7841	-0.8837	-0.5632	1.0540	1.8644	-0.0865	-0.6507	-0.9573
Austria	279948	1.4752	1.4332	0.0002	2.5297	-2.3357	0.9277	2.6891	3.4396	2.7034	5.3455	-0.4767	-0.7548	-0.2588	1.0123	1.8567	-0.0717	-0.6973	-0.9270
Azerbaijan	281045	1.4765	1.3822	0.0019	2.3504	-2.1272	0.8208	2.4412	3.1325	2.4012	4.6778	1.0597	-0.8294	-0.8837	0.4070	1.6396	0.3051	-0.7313	0.6395
Bangladesh	280425	1.5459	1.2659	-0.0037	1.7698	-1.3576	0.4955	1.7014	2.7568	2.0353	4.0887	0.5238	-0.0696	0.0002	.	0.3391	0.9946	0.3677	2.3977
Barbados	280422	1.1239	1.1306	-0.0097	2.8459	-2.1075	1.2510	2.7868	-0.3072	0.2788	0.8958	2.7408	-0.4731	-1.4617	0.6321	0.6641	-0.2444	2.3406	0.9184
Belgium	279798	1.4745	1.4356	0.0000	2.5431	-2.3455	0.9393	2.6990	3.4394	2.7002	5.3681	-0.5690	-0.8445	-0.6038	1.0182	1.8585	-0.0837	-0.6914	-0.9841
Bolivia	280722	1.5519	1.3092	0.0245	1.1966	-1.4067	0.1791	1.4981	3.2386	2.4611	4.5703	-0.2308	0.1536	0.1335	1.9662	1.1767	-1.2994	1.6745	1.1104
Botswana	280631	1.0984	1.1110	-0.0001	2.8566	-2.0646	1.2760	2.7679	0.9281	-0.2382	-0.1994	2.9737	-0.4368	-1.5484	0.5927	0.5931	-0.2286	2.5489	1.1320
Brazil	280353	1.4093	1.3410	-0.0121	2.4115	-2.1425	0.9082	2.5415	2.6243	2.0434	4.0794	0.6248	-0.7101	-1.0008	1.0049	1.4811	-0.3172	0.2919	-0.3348
British	279598	1.4760	1.4370	-0.0004	2.5380	-2.3480	0.9293	2.6999	3.4642	2.7306	5.4061	-0.7775	-0.8752	-0.5673	1.0545	1.8660	-0.0884	-0.6543	-0.9685
Brunei	279842	1.7057	1.0975	-0.0014	-0.3644	-0.7451	-0.4929	-1.0212	2.5783	1.8613	3.5972	0.6802	1.2304	0.5404	3.5168	0.2102	0.0583	1.7490	3.1639
Bulgaria	280127	1.4710	1.4238	0.0024	2.5272	-2.3105	0.9200	2.6659	3.3721	2.6176	5.1512	0.2452	-0.7780	-0.2807	0.8309	1.8298	-0.0032	-0.8227	-0.7343
Burundi	280503	1.1281	1.1317	-0.0038	2.8387	-2.0684	1.2484	2.7696	0.5276	-0.1797	-0.1013	3.0182	-0.5234	-1.6121	0.5387	0.6706	-0.2006	2.2320	1.0084
Cambodia	280627	1.6829	1.1166	-0.0038	0.4078	-0.8234	-0.1222	-0.6772	2.5664	1.8484	3.6339	0.7062	1.0403	0.4497	3.1450	0.2181	0.2096	1.5451	3.0065
Cameroon	280432	1.0793	1.1000	0.0023	2.8967	-2.0806	1.2994	2.8133	-0.2693	-0.6281	-0.1707	3.1620	-0.4335	-1.5818	0.5640	0.5276	-0.2548	2.6911	1.1542
Caribbean	280248	1.1247	1.1313	-0.0090	2.8425	-2.1101	1.2485	2.7894	-0.2524	0.0977	0.6492	2.7458	-0.4768	-1.4682	0.6213	0.6635	-0.2424	2.3384	0.9278
Chile	279728	1.5191	1.3467	0.0076	1.7062	-1.7298	0.4773	1.9351	3.2389	2.4858	4.7496	-0.0824	-0.2679	-0.3317	1.5680	1.4020	-0.8757	0.8080	0.3283
China	280373	1.7053	1.0994	-0.0009	.	.	.	.	2.6040	1.8609	3.6110	0.6664	1.2255	0.5663	3.5183	0.2215	0.0371	1.7489	3.1603
Colombia	280444	1.5101	1.3416	0.0071	1.7324	-1.7477	0.4886	1.9558	3.1518	2.4425	4.6596	-0.0038	-0.2810	-0.3837	1.5559	1.3857	-0.8901	0.8639	0.3254
Congo	280168	1.0805	1.1004	0.0021	2.8870	-2.0854	1.2886	2.8120	0.0226	-0.5521	-0.2859	3.1445	-0.4317	-1.5688	0.5787	0.5281	-0.2545	2.6846	1.1543
Croatia	279795	1.4746	1.4293	0.0015	2.5135	-2.3265	0.9161	2.6638	3.4157	2.6676	5.2746	-0.1896	-0.6991	0.0564	0.9713	1.8498	-0.0483	-0.7467	-0.8636
